timestamp: 20231031225128
trade_count: 112187
total_profit: 2655524.0
size of result_df: 15464
ratio: 0.13784128285808517
average days_held: 10.560653195111733
average profit: 23.670514408977866
Source code for 'gen_signal_func':
def gen_daily_buy_signal_five(data):
    """
    前辈指标

    :param data:
    :return:
    """
    # 效果：
    # 任然无法避免买入后继续跌，概率增加，持有天数减少

    # 还需继续优化
    K,D,J = KDJ(data['收盘'],data['最高'],data['最低'])
    data['J'] = J
    data['买'] = data['J'].apply(lambda x: 10 if x < 0 else 0)
    # data['Buy_Signal'] = (9.9 < data['买'].shift(1)) & (9.9 > data['买']) & (data['日期'] > '2013-01-01')
    # data['Buy_Signal'] = (9.9 < data['买'].shift(2)) & (9.9 > data['买'].shift(1)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    # 再往前判断前两天是否有穿越，并且连续两天是否都下跌
    data['Buy_Signal'] = (9.9 < data['买'].shift(3)) & (9.9 > data['买'].shift(2)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    return data




           名称      代码   Buy Date  Buy Price  Sell Date  Sell Price  Profit  Total_Profit  Growth Rate (%)  Days Held  Buy_Index
7408     常铝股份  002160 2015-06-25      15.58 2023-10-20        3.77 -1181.0 -1.142000e+03       -75.802311       1902       1735
6970     宝钢包装  601968 2015-11-26      14.59 2023-10-20        5.43  -916.0 -9.160000e+02       -62.782728       1899        112
3236     众信旅游  002707 2015-06-12      33.97 2023-10-20        6.34 -2763.0 -2.735000e+03       -81.336473       1898        209
10438    海南橡胶  601118 2015-06-25      11.18 2023-10-20        4.51  -667.0 -5.590000e+02       -59.660107       1898       1075
2103     中国船舶  600150 2015-06-25      59.99 2023-10-20       25.74 -3425.0 -2.933000e+03       -57.092849       1896       4065
5197      史丹利  002588 2015-12-31      15.79 2023-10-20        5.39 -1040.0 -8.550000e+02       -65.864471       1895       1101
3382     保税科技  600794 2015-06-25      11.19 2023-10-20        3.46  -773.0 -6.450000e+02       -69.079535       1894       4296
8861     昂立教育  600661 2016-01-04      34.47 2023-10-20        7.95 -2652.0 -1.479000e+03       -76.936466       1894       5306
1430     东华软件  002065 2015-06-12      19.78 2023-10-20        6.20 -1358.0 -1.153000e+03       -68.655207       1889       1909
5865     城市传媒  600229 2016-01-08      12.43 2023-10-20        6.80  -563.0 -4.058000e+03       -45.293644       1887       3641
6094     大连友谊  000679 2016-01-04      17.25 2023-10-20        5.11 -1214.0 -1.125000e+03       -70.376812       1882       4377
13091    西部证券  002673 2015-12-31      26.83 2023-10-20        6.65 -2018.0 -1.594000e+03       -75.214312       1881        887
5497     四创电子  600990 2015-06-25      61.23 2023-10-20       20.26 -4097.0 -3.728000e+03       -66.911645       1881       2660
